Text,Label
"Hello Everyone,
I have 7- 8 year experience as a Web\App Developer
I have developed a wide range of Magento e-Commerce websites using Magento, PHP, HTML, CSS, jQuery and MySQL.
I am familiar with Magento extension, Magento version 1,7,1.9,2.0, 
Looking for freelancer to project on Magento
Remote work
Provide your requirements and I would be happy to help you.
Please contact me :gurdeepahuja56@gmail.com",0
"Fellow Project Managers -

I am so thankful to have joined Medidata! I FINALLY have the work-life balance I was seeking and I enjoy being part of such a dynamic team.

If you are looking for the next step in your career- check out our eCOA Project Manager/Consultant openings! These are both 100% REMOTE based positions, so work location is flexible

https://lnkd.in/es6xx6u",0
"The BMA’s recent update has sparked fury across healthcare.

Are walk-in GP appointments really not safe?

Recently, the BMA announced something that has landed it in controversy.

They said:

That poor ventilation-

Means walk-in GP appointments are not safe for patients.

The risk of COVID is just too high.

Critics have claimed that:

Consulting patients over Zoom would lead to more people diagnosed later than normal.

This comes on the back of the recent NHS mandate:

That all patients have the right to see their family doctor in person.

Karol Sikora, a medical expert, said:

‘It makes sense if the NHS is in crisis but the crisis has gone now.’

I personally believe a hybrid system for consultations would be a better idea.

But what about you:

Do you think walk-in GP appointments are safe for patients?

Looking for a remote patient consultation platform that’s not a one-size-fits-all tool?

Check the first comment. ??",0
"I’m hiring for the first time! ?? EDIT: Position filled. Personal assistant required to work a flexible 20 hours a week between 9am 6pm. Musts: ?? Live local to Greater Manchester, UK ?? Very high level of English ?? Highly organised (because I am not) ?? Experience writing and creating social media content ?? Experience across all main social media ?? Basic website editing skills You'll be learning and developing all areas of business with me, from growing your social media presence, to communications, design, content creation, probably attending events in future, online selling and marketing... and of course you will become a LinkedIn expert and be encouraged to grow your own personal brand. Would suit someone looking to work school hours and budding entrepreneurs looking to learn everything about working in a startup. Role will start remote but will include some office based work together once I have relocated to Greater Manchester. Please send CVs by email, not on LinkedIn!",0
Urgent opening for fresher (Remote work )- May/ June 2021 #Fresher #Intern #passout -Work From Home 1. HR fresher 2. Finance and Accounting Fresher 3. Digital Marketing And HR Fresher 4. Social Media Marketing Intern 5. Graphic Designer 6. Web Development Intern 7. Data Analyst 8. Project Management Intern 9. BDE Internship And Content Writing Intern 10 PHP and android intern 11 Finance interns. 12 Sales and Marketing -Work from home. 13 Data entry 14. Typing work. 15. Java and Python intern. Work From Home.,0
"Back in February, I set my countdown clock to wind down a career that spanned a wonderful 33 years at Easter Seals Ontario and RBC. At RBC, 25 years and ten roles later, I have had a full career with so many opportunities to meet and learn from numerous leaders and peers, inside and outside of the bank. It’s been a privilege to be trusted several times over to lead teams and be a mentor. I’ve also had the opportunity to volunteer at organizations like Ascend Canada and March of Dimes, and with more free time coming up, I’m looking forward to pouring more energy into the causes so dear to me. These last 33 years wouldn’t be even remotely possible without the support of my wife, Jayshri and my daughters, Vanisha and Veena. They have been with me through the lows and highs and always believed and stood by me. I cannot thank them enough. If I’ve learned anything over these years – and I’ve been asked a few times since the countdown clock began – here are a few principles I’ve lived by for life and career: ·      “Think like a shareholder” is one of my go-to pieces of advice. If you put the company first over any person, line of business, or platform, you will consistently make the right decisions.    ·      For your career: your manager is the most important person in your network and don’t underestimate the power of a development plan. ·      Be generous with your time to others, volunteer and give back to your cause or community – and don’t expect anything in return. More than anything, I’ll look back at my time with RBC and Easter Seals and remember all the colleagues that became friends and the many things that we achieved together -- far too many to list (nor do I want to miss any!). I will forever be indebted to all of you for the experiences and conversations we shared.  Thank you for making my life richer and I hope our paths cross again. Until then, stay safe and healthy. ",0
"Today, I begin my new role as a Partner in EY’s Consulting practice. I am privileged to be part of such a great leadership team, and thankful for the support I’ve received from my mentors, colleagues, clients and family. Looking forward to the next chapter!",0
"It really saddens me when I hear of people being forced back into the office because it suits their employers. Haven’t people proved themselves this past 18 months? Traditionally home working or remote working as we now call it was always for the lucky few. And by lucky few you had to have had an illustrious career with lots of rewards or grafted your proverbial ‘nuts’ off to massively overachieve every single KPI & then some. Just to prove you were worthy enough or should I say trusted enough to work from home. Fast forward to 2020 when the pandemic hit & the Government forced businesses to allow their staff to work from home. With little notice & in a lot of cases very little support, your staff went home & did their jobs. Often juggling their work load with home schooling their kids & often looking out for sick family members. How working parents have survived this last year is nothing short of herculean. Yet here we are 18 months later telling people they have to come back. Telling them they can’t have a blended return to the office. Telling them they can’t take annual leave. Telling them they can’t go on the holiday thats been moved 3 times already because the Government changed their destination to amber. It’s not fair, it’s not supportive & it’s not really justifiable. A massive shift has taken place, people have been through so much during this time. They know they won’t get this time back with their families, & they know they can do their job no matter where they are & what life throws at them. So please, stop putting people under more pressure & stress just because it’s suits you. You are creating a toxic workplace & you will loose good people. Let me know your thoughts on this? Have you heard any examples of this from friends or colleagues?",0
"The TOP Person - An International Business, Politics, and NGO Magazine and a Global Charity with HUB have over 2 million monthly readers and 608 local LinkedIn Company pages to cover all countries as well as major metropolitan areas in the World. ??Articles in our magazines are written by 66 authors, including people from The Wall Street Journal, Forbes, Business Insider business media, BBC, LinkedIn Influencers and TopVoices, as well as TED. You can see our latest magazine in the attached PDF. ??In addition, there are 2246 The TOP Person ambassadors from 119 countries with 14.8+ million followers who will endorse LinkedIn content through our tailor-made, social media algorithm optimized platform over 3.1 million times a month. We are now going local by offering our very wanted interviews to local business leaders and publishing articles about local topics, and we are looking for Local Correspondents around the globe to assist us locally to make this happen. ??LOCAL CORRESPONDENT REQUIREMENTS: ? Writing and editing skills to provide compelling content. ? Assist with creating and communicating a calendar of planned content. ? In English speaking countries, we require very good English language skills ? In non-English speaking countries, we require very good local and good English language skills ??We offer, besides monetary compensation for articles written, unique tools and support to build your personal brand by making thousands of local decision makers aware of you and building business relationships with them. Unique tools and support mean that we will multiply your LinkedIn post endorsing powers 100 times compared to a regular LinkedIn user and you are welcome to request support to any LinkedIn posts from our 2246 The TOP Person Ambassadors. They support LinkedIn posts of each other over 3.1 million times a month and posts we support are among the top 1% engaged posts on LinkedIn every day. We will also publish your interview in our business magazine, write you a recommendation and endorse your skills in your LinkedIn profile. This is a remote position as we operate around the globe and online. ??If you are interested, please connect with our Editor-in-Chief Christian Dillstrom on LinkedIn to learn more.",0
"Apple fully embraced remote working last year, achieving record sales. But as we look past Covid-19, the tech giant has rejected calls from employees to continue working from home. It says in-person working is 'essential' and is enforcing a hybrid approach that requires at least three days in the office each week.",0
"Dear All,
Need your support for Dhirendra K Gupta, he is actively looking for job as a #SAP_FICO_Consultant.

#Experience: 6.5+ Yrs 

#CoreSkills: SAP FICO, AR,AP, TDS,TCS, MIS and Oracle MM 

#Qualification: MBA Finance 

#PreferredLocation: NCR and Remote/ Open for all 

#NoticePeriod: Immediate Joiner

#Emailid: dherendrakumar17@gmail.com

#ContactNo.: 7710009221

Please do #Like, #Comment, and #Share this post for the better reach, or if you have any references please suggest for him.",0
"I’m very proud and excited to be joining the EY Partnership today. It’s been a crazy and hugely rewarding ride which started in Leeds through the school leaver program, continued with an unforgettable period working in the Newcastle office where I made some life-long friends and ultimately took me to my adopted homeland in Auckland, New Zealand. #BetterWorkingWorld

A very special shout out to my favourite clan and the three L’s in my life - Lisa, Lanah and Lucas. I couldn’t have done it without their support and good humour along the way, particularly my daughter’s tips on how to pose for my new partner photo.",0
"Greetings ! My company is looking for consultants to help us in our digital transformation.If you're interested,please reach out to me at david@sig.com .SPlease comment any recommended company.",1
"?? Leaders! Leveraging YOU as a Name Brand just got Super Hassle-FREE! ?? As the new Talent Producer for Influencerr TV, I’m looking for CEOs, Founders, Speakers, & Influencers. Specifically those wanting their own video podcast show with their own dedicated production crew. Are you a highly motivated Subject Matter Expert who wants to leverage your personal brand to scale your revenue, time, and biz? This 40-second video intro is for YOU! Remote, hassle-free podcast & video production with your own crew includes every element of video & audio podcast production including:  ? Transcription for blogs,  ? Editing,  ? Booking guests,  ? Blasting your show onto all the relevant platforms, and  ? White-labeling All backed by leadership with extensive experience in Radio, TV, & Film both in front of the camera and behind it…  On major productions you would recognize. ? Follow Influencerr TV and Chris DeBlasio for innovative time-duplication tips on HOW to increase your personal brand, raving fans, and revenue. ? Who wouldn't want to be the talent who just shows up, while we do all the work for you? DM Erika Warfield for more info!",0
"The amount of remote jobs is growing, but the number of people looking for these jobs is growing faster.

The good news for remote job seekers: Employers are starting to realize that offering remote positions is a good way to compete and attract the best talent.

Companies are also starting to offer remote roles for lower-level positions, so you no longer need to be as experienced to land a remote role.

However, there are still far more job seekers wanting remote roles than actual remote roles.

So if you want a remote position you need to get creative in how you approach these companies. Networking and approaching hiring managers directly is essential.

For anyone interested in the trends and topic, I recommend the article below. It was an interesting read.",0
"Goodbyes are hard, and June has been full of them for me. I left two jobs that I loved this month. I’m excited to post about the incredible opportunity I accepted, but today I wanted to just share kudos about the awesome places I sadly had to leave to make it happen. mBank will always hold a special place in my heart. Because of my roots in Manistique/Marquette, it is full of countless former classmates, colleagues, and neighbors. My first day with Katy bringing me around to introduce me to everyone, I already knew most of them! Funny enough, the one department that I didn’t know anyone was IT. That quickly changed as everyone went from strangers to the best “work family” I’ve had. I can’t thank Jake enough for giving me the opportunity. I can’t thank Ryan enough for being the best mentor/safety net/partner-in-crime. CJ, Hillary, Jer, Joshua, Kurt, and Myra— I’ll miss you all. Leaving was heartbreaking. Acquisitions are a reality of banking, and change is part of that. For many non-customer facing roles, this meant frank discussions about moving. I have found that us Yoopers are hard-headed about many things, and one of them is leaving the UP. We’re all here for a reason, be it family, nature, or just the fact that it’s “home.” I wish those who are able to stay on the very best. I know for myself and many of my peers, seeking local or remote roles was the right choice for us and our families. Which brings me to Hagerty. I was thrilled to accept an offer to stay in the UP and remotely join their Incident Response team. My recruiting process with Tiffany was amazing. Hagerty has received national “Best Workplaces” accolades, and it’s easy to see why. Their embrace of remote work shows what a forward-thinking organization they are and the talent they’ve built is staggering. Once I was able to meet the Security team, and especially my manager and peers in IR, to say I was blown away would be an understatement. Knowing I found a place I could be happy after mBank was a relief. I envisioned a long future there— but life happens. Before the ink was even dry on my offer letter, I received an opportunity that is a huge leap for my career and my family. If you want to see the character of an organization, look at how they respond to tough news. Every single person I dealt with understood/supported my decision, even in the face of a difficult situation. To any of my contacts looking for work— this place is the real deal. Check out their open positions and follow them for future roles— they’re growing fast. Leaving there on such short notice was one of the hardest decisions of my professional life. In the near future, I’ll update my LinkedIn and post about my new role, but I wanted to take the time today to just thank these two incredible organizations. Wishing everyone at mBank and Hagerty the best, and glad to have crossed paths with all of you. Great people make the best workplaces what they are, and both places are overflowing with great peopl",0
"Hello from Relaxify,We need some urgent help in digital transformation.We want to outsource the work on a contract.Please recommended appropriate companies",1
"Looking for Sr Professionals from Logistics, Express, Courier , Cargo, 3PL, Transportation and FTL, Freight/Forwarding companies for the below roles for multiple locations.

- Asst. Manager/ Managers/ Sr Managers - Sales & Business Development.
- Asst. Manager/ Managers/ Sr Managers - Operations.
- Executives/ Sr Executives - Operations.

Interested candidates can inbox me their resumes. I will connect with them",0
"Today, Manoj and I unveiled DevRev, a DevCRM company that will empower developers to build the earth's most customer-centric companies. With data, design, and machine intelligence, we aspire to bring dev and rev (the customer) together socially and in real-time. Thank you to all the DevRevelers who have burned the midnight oil in defining our purpose. We look forward to learning from a dev community that continues to break new ground with code!",0
"Please don't ignore this post. I am in trouble and you can only help me. I got a job offer after the struggle of 18 months but again my bad luck, they got someone else ready to join at less salary, so they declined my offer.

Now again I have no job, no income from the last 18 months = 365+ 180 days

I have no savings left to run my family. Please help me.

I have 17 years of work experience in the IT- Hardware industries, I am looking for a job immediately for any suitable managerial position as Senior Manager Sales and Marketing.

•Position Desired: Seeking a role in Sr Management and Leadership level in International Sales & Business Development / Profit Center Operations / Distribution Management

•Industry: IT Sector

•Availability: Can join Immediately

•Location: #Mumbai

•Phone: +91-8828494051

•Email: nicklesh401@gmail.com

Career Summary
-----------------

•17 years of experience in Sales & Marketing, Business Development, Channel Management, etc.

•Possess successful stint in #Channelsales, high-end technical sales, #Budgeting, #Salespromotion.

Skills
----
•Budgeting,
•Business Development,
•Business Operations,
•Business Plans

•Competitive Analysis,
•Corporate Communications,
•Credit,
•Customer Relations,
•Customer Satisfaction,

Please like, comment, and share this post.",0
"Want to make people learn about your presence on the internet, but getting the desired traffic seems like a far reached goal!

Hire SEO experts to make your online presence count. We'll help you to generate more traffic, attract the target audience and more converts. Let your website positioned at the top of the search engine.

Not just hard but smart work is needed to attract a targeted audience to your business, increase sales and growth.

Visit https://lnkd.in/eZ_sYXi for any Digital Marketing query and get a free quote today!

We also provide services in-
#MobileAppDevelopment: https://lnkd.in/e_Kz4-j
#WebDevelopement: https://lnkd.in/ggwERBv
#MotionGraphics & #GraphicDesign: https://lnkd.in/eW2D84R

Also, if you are looking for a team of high-skilled customer care representatives then hurray we have one. Visit https://css.qualhon.com/ for further information on #CustomerSupportServices and to outsource.",0
"Did you know that nearly 50% of employers that #outsource say the quality of their #service providers and a reactive versus proactive attitude is the most frustrating issues to deal with?

And how important the #team you are hiring is?

If you didn’t have to take the #PRICE under consideration when outsourcing a part of your work - who would you hire?

Don’t choose your outsourcing team based on their price (whether it’s a lower or a higher one - it doesn’t determine the quality of anyone’s work) choose it based on their experience.

Your #team should be:

1) Proactive;
2) Able to face the changes and challenges and adjust to them fast;
3) Reliable;
4) Experienced;
5) Willing to learn;
6) Ambitious;
7) Able to nurture your companies values just like it was their own;
8) Creative;
9) Able to act quickly!
10) RELIABLE!

Ask for a testimonial. Ask for proof that justifies the price. Talk to their previous clients. See if your energies align. Don't forget - the outsourcing team is there to take a part of the burden off your back, not the ones who will add to that cargo and make it even more difficult.

If you’re looking to outsource Lead Gen as part of your offering, if you would like to include it into your sales cycle or if you know anyone who is looking to outsource - DM me!",0
"Dear Connections,

Mattsen Kumar is looking for Immediate Joiners for Jaipur Location.

Job Role : Quality Auditor
Requirements: 5+
Experience Required: 1 year in BPO
Work From Office /Home

Interested candidatures may share their resumes at :
varsha.singh@mattsenkumar.com
Contact Number: 0141-4700216",0
"CLINICAL SERVICE DELIVERY VACANCY:

We are currently looking to recruit a talented colleague to work alongside us in our clinical delivery team, supporting the delivery of our insourced and outsourced Endoscopy Services. Experience of staffing projects and dealing with Endoscopy and Gastroenterology Nurses and Consultants would be highly beneficial.

This is a true 360 role, working as part of a happy, motivated and dynamic team.

Role will be mainly home based, excellent salary, commission and bonus structure, with a very real opportunity for career progression.

Any interested candidates or recruiters, please feel free to contact me directly for a confidential chat.",0
"SHETHINK looking for IT Partners who can collaborate with us for Outsourcing

We would like to know if you would be interested in loaning your developers to work on projects within our partner network.


 #HIRING REMOTE DEVELOPER

Immediate Requirements:

1)      Java Developer (Exp: 4+yrs)
No. of Developer: 8

2)      Node Js Developer (Exp: 3+yrs)
No. of Developer: 5

3)      React Js Developer (Exp: 3+yrs)
No. of Developer: 5

4)     React Native  Developer (Exp: 2+yrs)
No. of Developer: 3


So let's connect and discuss the opportunities in detail.

For Collaboration kindly fill the form given in the comment section

Grab the opportunity and do share your bench resource list at vedika@shethink.in

References are also appreciated


Kindly like, share & comment so that post could reach dedicated IT vendors.",1
"Hi,

Looking for recommendations for professionals who can help me with Web and Mobile app development. - Experience in all type of apps development - Experience in Web app - Local team (Delhi NCR) will be preferred first…",1
We are looking for an App developer (IOS and Android) to finish a project that we believe is mostly done. Would love any type of referral. TIA,1
Looking for a mobile app developer - holla if you know anyone!,1
"We take a look at an article on why npm audit is broken, check out the AppSumo 2 day sale, a new query language for Wikipedia, look at some important changes to Git and why not, I struggle through the JS is weird test with you.

NPM and the Boy Who Cried Wolf

NPM, the tool that is installed with NodeJS...which most web developers use everyday has a false positive approach that creates a 'boy who cried wolf' problem. This great article from Dan Abramov is a deep dive into why that's a problem and potential fixes.

AppSumo Day Sale

This is a limited time deal, but the site is always awesome. AppSumo has a lot of up and coming apps often offered with lifetime deals. I've found so many useful apps here like Publr and Switchy. They have some specials that are set to last only for a couple of days.

Wikipedia QL

This npm project is a tool for querying Wikipedia. It's a NodeJS module that uses the Wikipedia API to retrieve metadata in an easy to digest JSON format. It runs on and returns easy to part JSON data. I like that at the end of the NPM project it shows some reasons why this is a better approach than other solutions provide by and for Wikipedia.

Git Restore and Switch

There's been some recent changes to Git, the most popular version control system for web developers. The git checkout command had been doing the work of switching to commits and branches as well as restoring the state of commits. That work has now been split into two different commands, git restore and git switch.

JS is Weird

I'm not big on quizzes...they bring back old memories of bad teachers, but I really think you should take this quiz. It's full of questions about JavaScript's quirkiness, so this isn't about learning useful code for your next project. and the best part of the quiz is not the questions, but at the end, the site provides thorough explanations of why the developer chose to write his own query language.",0
"Hey all,

One of my close friend sister(RASHMI SUMAN ) looking for internships / full time role in IT industry.

She have good knowledge on following languages.
?? Java ,C Programming , #c++, Python , HTML, CSS, App development, machine learning, web scraping.

please do like, share this resume with recruiters,do tag someone who can help on this",0
